t,theta,theta_ref,error,p1_cmd,p2_cmd,p1_meas,p2_meas,J_min,J_mean,comp_time_ms,hold_mode,sigma_u
1763324695.3453104,0.211690549060674,0.0,-0.211690549060674,0.0,0.0,0.0,0.0,4.723104000091553,6.082266330718994,72.14617729187012,0,0.1
1763324695.4843328,0.21168994162479526,0.0,-0.21168994162479526,0.015951991081237793,0.015041675418615341,0.0,0.0,4.298171520233154,8.626325607299805,128.80611419677734,0,0.1
1763324695.5843453,0.21168956949746207,0.0,-0.21168956949746207,0.044301001355051994,0.007724208291620016,0.0,0.0,3.774444580078125,7.676902770996094,89.64824676513672,0,0.1
1763324695.696926,0.21168945770960174,0.0,-0.21168945770960174,0.035280666314065456,0.0,0.0202346108853817,0.005938410758972168,4.470616817474365,9.866924285888672,102.2179126739502,0,0.1
1763324695.78264,0.21168940251883392,0.0,-0.21168940251883392,0.045362455770373344,0.0,0.04222872480750084,0.010337233543395996,3.896723747253418,7.499894142150879,75.36196708679199,0,0.1
1763324695.8705738,0.21168937930152348,0.0,-0.21168937930152348,0.05890739057213068,0.0,0.040029313415288925,0.0004398822784423828,3.2159202098846436,7.205854415893555,77.55351066589355,0,0.1
1763324695.9527657,0.21168936381580064,0.0,-0.21168936381580064,0.04992168955504894,0.0,0.04222872480750084,0.0,3.1967930793762207,8.814687728881836,71.99239730834961,0,0.1
1763324696.0371814,0.21168935730280264,0.0,-0.21168935730280264,0.08379433862864971,0.0,0.04882698506116867,0.0,3.121978998184204,7.207515716552734,74.11599159240723,0,0.1
1763324696.1235695,0.21168935360119215,0.0,-0.21168935360119215,0.09924254659563303,0.0,0.054325513541698456,0.0,2.6987464427948,6.840612888336182,76.0040283203125,0,0.1
1763324696.2662888,0.2116893514974886,0.0,-0.2116893514974886,0.1063885223120451,0.030719885602593422,0.09611435234546661,0.0,2.975062608718872,7.446196556091309,132.50470161437988,0,0.1
1763324696.3720841,0.21168934962251285,0.0,-0.21168934962251285,0.1289539523422718,0.009011492133140564,0.09721405804157257,0.0,2.6676599979400635,8.358343124389648,95.42679786682129,0,0.1
1763324696.4566836,0.2116893491694499,0.0,-0.2116893491694499,0.08409415557980537,0.019238517619669437,0.10161291062831879,0.025733139365911484,2.9146838188171387,7.947186470031738,74.35846328735352,0,0.1
1763324696.536721,0.21168934897895073,0.0,-0.21168934897895073,0.023688752204179764,0.03820724319666624,0.11810849606990814,0.024633433669805527,3.2630808353424072,7.2821784019470215,69.69141960144043,0,0.1
1763324696.6072445,0.2113793386104474,0.0,-0.2113793386104474,0.0,0.034232663456350565,0.11260996758937836,0.02353372797369957,3.039111852645874,9.04874324798584,60.32991409301758,0,0.1
1763324696.6424289,0.20253591635615337,0.0,-0.20253591635615337,0.0,0.010225784499198198,0.1115102618932724,0.02353372797369957,2.888943672180176,12.216960906982422,24.912595748901367,0,0.1
